Station_Name	latitude	longitude
Soho Square , Soho	51.51512000000008	-0.13270999999997457
Wellington Road, St. John's Wood	51.534014479312425	-0.1738227748700545
Park Lane , Hyde Park	51.50443000000007	-0.15214999999994916
Stonecutter Street, Holborn	51.515723736871095	-0.1056842992784065
Gloucester Road (Central), South Kensington	51.49143433214236	-0.18021645884953966
Park Road (Baker Street), The Regent's Park	51.52692308283454	-0.16366798129595733
Braham Street, Aldgate	51.51424868440595	-0.07243307153892423
Little Argyll Street, West End	51.51455840843923	-0.14123335430954262
Lollard Street, Vauxhall	51.487387451548905	-0.11673654674057693
Rochester Row, Westminster	51.495180042225485	-0.13596490497512548
Bath Street, St. Luke's	51.48981635599066	-0.1682992319815693
The Guildhall, Guildhall	51.515870000000064	-0.0919299999999339
Baker Street, Marylebone	51.522570009705774	-0.15773990072137778
Norton Folgate, Liverpool Street	51.51745841239395	-0.0826224650585819
St. John Street, Finsbury	51.521131550303494	-0.10152990934508921
Eaton Square, Belgravia	51.498110000000054	-0.1475099999999543
Borough High Street, The Borough	51.50153540084823	-0.09292691594352488
Museum of London, Barbican	51.51715000000007	-0.08703999999994494
Wood Street, Guildhall	51.48886002436693	-0.2549299272964447
Emperor's Gate, South Kensington	51.49577697493531	-0.18605534049935432
Golden Square, Soho	51.51126954235372	-0.13731028438934922
Tower Gardens , Tower	51.509060000000034	-0.07564999999993915
Eversholt Street , Camden Town	51.530844431008774	-0.13462032866265622
Bethnal Green Road, Shoreditch	51.523630023712116	-0.0764898956178115
Derry Street, Kensington	51.50142584603384	-0.19140762226450544
Wapping High Street, Wapping	51.50458000000003	-0.05598999999995158
Clerkenwell Green, Clerkenwell	51.52238667363224	-0.1055221120396032
Queen Victoria Street, St. Paul's	51.51316513056222	-0.09049214276165325
Green Street, Mayfair	51.51280142136419	-0.1544305667620629
Lambeth Road, Vauxhall	51.4801650065168	-0.12428527430017115
Finsbury Square , Moorgate	51.52038346504577	-0.08589142930176502
Chapel Place, Marylebone	51.515113028587	-0.14665262172650337
West Cromwell Road, Earl's Court	51.492872080771846	-0.2003782569792388
Pont Street, Knightsbridge	51.49697948575796	-0.16092024893501483
Kennington Cross, Kennington	51.487010000000055	-0.11311999999992395
Ilchester Place, Kensington	51.50065098882409	-0.20288127069748885
Vauxhall Bridge , Pimlico	51.49104565643975	-0.1344587235246926
Tachbrook Street, Victoria	51.49301476548276	-0.13935558626244982
Kennington Road Post Office, Oval	51.48485000000005	-0.11046999999996387
Holy Trinity Brompton, Knightsbridge	51.50183604504043	-0.16645394866537083
Chepstow Villas, Notting Hill	51.51327666884563	-0.19925107659419952
Hampton Street, Walworth	51.491993969282014	-0.09983811449319041
Bayswater Road, Hyde Park	51.5124345512238	-0.16791551457735152
Waterloo Station 3, Waterloo	51.50282000000004	-0.1110999999999649
Lexham Gardens, Kensington	51.49602098461006	-0.18952357465388883
New Kent Road, The Borough	51.49452947219072	-0.09638258851173342
Wright's Lane, Kensington	51.49893558165067	-0.19230231140482348
Trebovir Road, Earl's Court	51.491630776292716	-0.19509308878097883
Great Marlborough Street, Soho	51.51409878225321	-0.1398982998633272
Waterloo Place, St. James's	51.507520000000056	-0.1328699999999685
Guildhouse Street, Victoria	51.49265038663994	-0.14176413334035662
Southampton Place, Holborn	51.517755414676934	-0.1126982710431419
Sloane Avenue, Knightsbridge	51.49230778679604	-0.1657971187894428
Cleveland Gardens, Bayswater	51.51421537992084	-0.18257120591777926
Orsett Terrace, Bayswater	51.51048000000003	-0.18425999999993792
Seville Street, Knightsbridge	51.50165910305169	-0.15921044631994236
Eccleston Place, Victoria	51.49182503879621	-0.14586489654419665
Argyll Road, Kensington	51.501302419861425	-0.1963912598637215
Porchester Place, Paddington	51.51702907569764	-0.1880299238616569
Hardwick Street, Clerkenwell	51.52776675254798	-0.10827425820485029
Collingham Gardens, Earl's Court	51.49201799958926	-0.18815801790331316
Sumner Place, South Kensington	51.49207884482771	-0.17460451315506473
Waterloo Road, South Bank	51.49871003883831	-0.10554995392706701
Strand, Strand	51.50786000000005	-0.12682999999992717
Appold Street, Liverpool Street	51.51745841239395	-0.0826224650585819
Gloucester Terrace, Bayswater	51.51356585435679	-0.1781363842204813
Ashley Place, Victoria	51.49618977197881	-0.14090716555592625
Warwick Square, Pimlico	51.49062084213139	-0.14083392108333845
North Audley Street, Mayfair	51.51285967560815	-0.15334064096677807
Belgrave Square, Belgravia	51.4981327400548	-0.15361889690354413
Bell Street , Marylebone	51.520659985245224	-0.16990502145131178
Riverlight North, Nine Elms	51.48194974870827	-0.13683345930441565
Portland Place, Marylebone	51.522270688005364	-0.14584321717483284
Alderney Street, Pimlico	51.48945409336393	-0.14358342868465193
South Wharf Road, Paddington	51.51778545213713	-0.17368687287326462
Queen's Gate (South), South Kensington	51.4979405268669	-0.17963061771252387
Nutford Place, Marylebone	51.51672865401815	-0.16350685359476838
Claremont Square, Angel	51.53089503828943	-0.10952490386996772
Rampayne Street, Pimlico	51.490353086073505	-0.13238116172747758
Hyde Park Corner, Hyde Park	51.503286238041596	-0.15091268154926044
Wardour Street, Soho	51.512535045162096	-0.1332549099499687
Bankside Mix, Bankside	51.50816355244705	-0.09521630696980721
Hop Exchange, The Borough	51.491209995695954	-0.13424003503016024
Milroy Walk, South Bank	51.50757563249022	-0.10638913006144879
Union Street, The Borough	51.50370918866094	-0.09882371573659647
Stamford Street, South Bank	51.50660134324556	-0.10906666317261031
Great Tower Street, Monument	51.51039456295047	-0.08247728629097169
LMU Commercial Road, Whitechapel	51.513314901988025	-0.04732192565174095
Dorset Square, Marylebone	51.52266976108265	-0.16164476143109655
Leman Street, Aldgate	51.51506701164195	-0.07165209965504762
West Smithfield Rotunda, Farringdon	51.517740039395974	-0.10493488987205524
Margery Street, Clerkenwell	51.52715011725419	-0.11128998408993528
New Road 1 , Whitechapel	51.51767220654375	-0.06256067302420797
Grosvenor Crescent, Belgravia	51.50163344862276	-0.15300067181278154
Mallory Street, Marylebone	51.519359743920745	-0.15096016662074918
Denyer Street, Knightsbridge	51.49372701950075	-0.1648343867903116
Hinde Street, Marylebone	51.51698005223507	-0.15100493102846713
Cadogan Place, Knightsbridge	51.49697971918372	-0.15757444254931036
Campden Hill Road, Notting Hill	51.5083274262606	-0.19972526142353458
Wellington Arch, Hyde Park	51.502590000000055	-0.15070999999994683
Endsleigh Gardens, Euston	51.52637098404145	-0.13173748706211405
Moorfields, Moorgate	51.51893004481308	-0.08842492138505229
Old Brompton Road, South Kensington	51.49057499354798	-0.18618072597887286
Wormwood Street, Liverpool Street	51.51745841239395	-0.0826224650585819
St. Luke's Church, Chelsea	51.5582000098928	-0.19438999714068927
Bramham Gardens, Earl's Court	51.49348505376534	-0.19058490646564508
Chelsea Green, Chelsea	51.474690039863205	-0.18130991150687237
Horseferry Road, Westminster	51.49488005391083	-0.13049455486943143
Knightsbridge, Hyde Park	51.50183604504043	-0.16645394866537083
Rodney Road , Walworth	51.49170269154032	-0.09130239052610192
Whiteley's, Bayswater	51.515360000000044	-0.18892999999997073
Notting Hill Gate Station, Notting Hill	51.50867836294082	-0.19963534964719123
Charles II Street, West End	51.507962998117264	-0.13317100018089886
Great Percy Street, Clerkenwell	51.52966621288634	-0.11219492631360564
St. James's Square, St. James's	51.50714728374884	-0.13620886370121785
Whitehall Place, Strand	51.50597501506327	-0.12554057778523522
Poured Lines, Bankside	51.50816355244705	-0.09521630696980721
Queen's Gate (Central), South Kensington	51.4979405268669	-0.17963061771252387
Carey Street, Holborn	51.515200050321965	-0.11189488699281469
Pall Mall East, West End	51.50803436492375	-0.13014615167670754
Liverpool Road (N1 Centre), Angel	51.53591171267825	-0.10711199817361412
Kennington Road  , Vauxhall	51.48401489070832	-0.12040452356433749
Fashion Street, Whitechapel	51.51843936811136	-0.07291899452791445
Dock Street, Wapping	51.509930881565545	-0.06815442675367628
Frampton Street, Paddington	51.520424615761016	-0.15599972155317546
Warren Street Station, Euston	51.50105504388971	0.06776504687394436
Colombo Street, Southwark	51.5048359050398	-0.09482736802582262
Beaumont Street, Marylebone	51.52120511850418	-0.15072302533635448
Gloucester Street, Pimlico	51.49009068551937	-0.14035623050517354
Earnshaw Street , Covent Garden	51.51631653203364	-0.1287980485555382
Grosvenor Road, Pimlico	51.48850505076746	-0.129694906123774
Berry Street, Clerkenwell	51.52365757169008	-0.10047306101835779
St. John's Wood Church, The Regent's Park	51.53004000000004	-0.14451999999994314
Triangle Car Park, Hyde Park	51.50443000000007	-0.15214999999994916
Harper Road, The Borough	51.51148665671258	0.05468045299975302
Royal Avenue 1, Chelsea	51.490029991366924	-0.16208002351322648
Brushfield Street, Liverpool Street	51.51904737236314	-0.07617473882377235
Jubilee Gardens, South Bank	51.417439418587485	-0.17694912260478482
Shoreditch Park, Hoxton	51.53356000000008	-0.08696999999995114
Chadwell Street, Angel	51.53040466702737	-0.10670746028111203
Clifton Road, Maida Vale	51.52563122742536	-0.17931341453652233
Houghton Street, Strand	51.513819498421455	-0.11663491943652977
Westminster University, Marylebone	51.52227001801239	-0.15482003807781552
Kensington Gore, Knightsbridge	51.50078540977876	-0.17812994317063158
Broadwick Street, Soho	51.51324698492824	-0.13699064475808878
Princes Square, Bayswater	51.51290033399751	-0.19270513824207675
LSBU (Borough Road), Elephant & Castle	51.49887000000007	-0.10219999999992524
St. Mary Axe, Aldgate	51.51478418071334	-0.08075481136874318
Tysoe Street, Clerkenwell	51.526594935304445	-0.10882920005903177
Southwick Street, Paddington	51.51687824955848	-0.17058306831303366
Queen's Gate (North), Kensington	51.4979405268669	-0.17963061771252387
Regency Street, Westminster	51.49463498394132	-0.1323645527355893
Belgrave Road, Victoria	51.49320907301284	-0.14415104852255745
Empire Square, The Borough	51.55973434467649	-0.1223361760501797
Kennington Lane Rail Bridge, Vauxhall	51.48706631640073	-0.1258133582980796
London Zoo,  The Regent's Park	51.53574000000003	-0.15572999999994863
Baylis Road, Waterloo	51.500446148992026	-0.11096858059537194
Belvedere Road 1, South Bank	51.502366385448255	-0.11782311562934557
Warwick Road, Olympia	51.49339759964293	-0.20122370914669563
Barbican Centre, Barbican	51.519910009354305	-0.09312001061306319
Lower Thames Street, Monument	51.50916311978502	-0.08114765360949619
Kensington Church Street, Kensington	51.50863089994286	-0.19504784034115816
